Date,Open,High,Low,Close,Adj Close,Volume
2012-11-26,1409.150024,1419.699951,1385.430054,1416.180054,1416.180054,16954180000
2012-12-03,1416.339966,1423.729980,1398.229980,1418.069946,1418.069946,16930770000
2012-12-10,1418.069946,1438.589966,1411.880005,1413.579956,1413.579956,16918840000
2012-12-17,1413.540039,1448.000000,1413.540039,1430.150024,1430.150024,20543390000
2012-12-24,1430.150024,1430.150024,1401.579956,1402.430054,1402.430054,8790850000
2012-12-31,1402.430054,1467.939941,1398.109985,1466.469971,1466.469971,14660950000
2013-01-07,1466.469971,1472.750000,1451.640015,1472.050049,1472.050049,18003450000
2013-01-14,1472.050049,1485.979980,1463.760010,1485.979980,1485.979980,17024890000
2013-01-21,1485.979980,1503.260010,1481.160034,1502.959961,1502.959961,14298680000
2013-01-28,1502.959961,1514.410034,1496.329956,1513.170044,1513.170044,18901190000
2013-02-04,1513.170044,1518.310059,1495.020020,1517.930054,1517.930054,17220660000
2013-02-11,1517.930054,1524.689941,1513.609985,1519.790039,1519.790039,17082600000
2013-02-18,1519.790039,1530.939941,1497.290039,1515.599976,1515.599976,15683400000
2013-02-25,1515.599976,1525.839966,1485.010010,1518.199951,1518.199951,19146110000
2013-03-04,1518.199951,1552.479980,1512.290039,1551.180054,1551.180054,17988980000
2013-03-11,1551.150024,1563.619995,1547.359985,1560.699951,1560.699951,18074930000
2013-03-18,1560.699951,1561.560059,1538.569946,1556.890015,1556.890015,16501510000
2013-03-25,1556.890015,1570.280029,1546.219971,1569.189941,1569.189941,12266080000
2013-04-01,1569.180054,1573.660034,1539.500000,1553.280029,1553.280029,16991960000
2013-04-08,1553.260010,1597.349976,1548.630005,1588.849976,1588.849976,16193490000
2013-04-15,1588.839966,1588.839966,1536.030029,1555.250000,1555.250000,20025810000
2013-04-22,1555.250000,1592.640015,1548.189941,1582.239990,1582.239990,17250470000
2013-04-29,1582.339966,1618.459961,1581.280029,1614.420044,1614.420044,17137450000
2013-05-06,1614.400024,1635.010010,1614.209961,1633.699951,1633.699951,16470390000
2013-05-13,1632.099976,1667.469971,1626.739990,1667.469971,1667.469971,16979670000
2013-05-20,1665.709961,1687.180054,1635.530029,1649.599976,1649.599976,17853250000
2013-05-27,1652.630005,1674.209961,1630.739990,1630.739990,1630.739990,14642760000
2013-06-03,1631.709961,1646.530029,1598.229980,1643.380005,1643.380005,18157630000
2013-06-10,1644.670044,1648.689941,1608.069946,1626.729980,1626.729980,15935010000
2013-06-17,1630.640015,1654.189941,1577.699951,1592.430054,1592.430054,20459250000
2013-06-24,1588.770020,1620.069946,1560.329956,1606.280029,1606.280029,20394900000
2013-07-01,1609.780029,1632.069946,1604.569946,1631.890015,1631.890015,11022010000
2013-07-08,1634.199951,1680.189941,1634.199951,1680.189941,1680.189941,16166370000
2013-07-15,1679.589966,1693.119995,1671.839966,1692.089966,1692.089966,15613300000
2013-07-22,1694.410034,1698.780029,1676.030029,1691.650024,1691.650024,15296700000
2013-07-29,1690.319946,1709.670044,1681.859985,1709.670044,1709.670044,16920240000
2013-08-05,1708.010010,1709.239990,1684.910034,1691.420044,1691.420044,14910070000
2013-08-12,1688.369995,1696.810059,1652.609985,1655.829956,1655.829956,15334290000
2013-08-19,1655.250000,1664.849976,1639.430054,1663.500000,1663.500000,13950930000
2013-08-26,1664.290039,1669.510010,1627.469971,1632.969971,1632.969971,13695720000
2013-09-02,1635.949951,1664.829956,1633.410034,1655.170044,1655.170044,13124750000
2013-09-09,1656.849976,1689.969971,1656.849976,1687.989990,1687.989990,15772830000
2013-09-16,1691.699951,1729.859985,1691.699951,1709.910034,1709.910034,18657960000
2013-09-23,1711.439941,1711.439941,1687.109985,1691.750000,1691.750000,15310240000
2013-09-30,1687.260010,1696.550049,1670.359985,1690.500000,1690.500000,15855840000
2013-10-07,1687.150024,1703.439941,1646.469971,1703.199951,1703.199951,16132530000
2013-10-14,1699.859985,1745.310059,1692.130005,1744.500000,1744.500000,16512980000
2013-10-21,1745.199951,1759.819946,1740.500000,1759.770020,1759.770020,17464350000
2013-10-28,1759.420044,1775.219971,1752.699951,1761.640015,1761.640015,17676620000
2013-11-04,1763.400024,1774.540039,1746.199951,1770.609985,1770.609985,18014020000
2013-11-11,1769.959961,1798.219971,1760.640015,1798.180054,1798.180054,15476450000
2013-11-18,1798.819946,1804.839966,1777.229980,1804.760010,1804.760010,15813880000
2013-11-25,1806.329956,1813.550049,1800.579956,1805.810059,1805.810059,10637550000
2013-12-02,1806.550049,1810.020020,1779.089966,1805.089966,1805.089966,16668560000
2013-12-09,1806.209961,1811.520020,1772.280029,1775.319946,1775.319946,16086600000
2013-12-16,1777.479980,1823.750000,1767.989990,1818.319946,1818.319946,19402600000
2013-12-23,1822.920044,1844.890015,1822.920044,1841.400024,1841.400024,8194360000
2013-12-30,1841.469971,1849.439941,1827.739990,1831.369995,1831.369995,10461570000
2014-01-06,1832.310059,1843.229980,1823.729980,1842.369995,1842.369995,17375600000
2014-01-13,1841.260010,1850.839966,1815.520020,1838.699951,1838.699951,17839850000
2014-01-20,1841.050049,1849.310059,1790.290039,1790.290039,1790.290039,15747340000
2014-01-27,1791.030029,1798.770020,1770.449951,1782.589966,1782.589966,19054250000
2014-02-03,1782.680054,1798.030029,1737.920044,1797.020020,1797.020020,20380140000
2014-02-10,1796.199951,1841.650024,1791.829956,1838.630005,1838.630005,16742180000
2014-02-17,1839.030029,1847.500000,1824.579956,1836.250000,1836.250000,13891540000
